time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1536128082.469014330,1.0241,-0.513708,-1.84638,-1.02109,-0.98877,-0.13128,-0.0158625
1536128082.477109742,0.965432,-0.443625,-1.79547,-0.937771,-0.909876,-0.11803,-0.016972
1536128082.485164769,1.05669,-0.517617,-1.89248,-1.03279,-1.01187,-0.132785,-0.0200314
1536128082.493133559,1.01847,-0.469604,-1.84697,-0.96261,-0.953755,-0.114281,-0.0237418
1536128082.501253319,1.1066,-0.546249,-1.93599,-1.05296,-1.05411,-0.122502,-0.0267833
1536128082.509476528,1.06032,-0.494806,-1.88636,-0.977894,-0.992991,-0.111181,-0.0278059
1536128082.517741031,1.00712,-0.436675,-1.83052,-0.902803,-0.916972,-0.102817,-0.0306073
1536128082.525677246,1.09126,-0.514096,-1.91461,-0.992577,-1.01728,-0.116085,-0.0308146
1536128082.533696926,1.06045,-0.474807,-1.85905,-0.924911,-0.96,-0.101462,-0.0332928
1536128082.541898849,1.15157,-0.545841,-1.9342,-1.01641,-1.04638,-0.110061,-0.0340627
1536128082.549945606,1.10658,-0.502486,-1.87266,-0.949093,-0.964205,-0.0995492,-0.0325644
1536128082.557924007,1.05767,-0.458144,-1.79392,-0.855031,-0.895456,-0.0950666,-0.0240487
1536128082.566021405,1.13702,-0.529633,-1.86398,-0.93997,-0.981506,-0.104879,-0.0192261
1536128082.574073705,1.11178,-0.491348,-1.80823,-0.879555,-0.922081,-0.095707,-0.0173709
1536128082.582062101,1.06934,-0.425742,-1.75227,-0.811383,-0.85374,-0.0882164,-0.0189578
1536128082.590164480,1.14968,-0.49238,-1.81906,-0.899025,-0.937618,-0.0987629,-0.0199103
1536128082.598192586,1.11053,-0.461824,-1.74743,-0.840941,-0.883053,-0.0890882,-0.0215563
1536128082.606195785,1.18991,-0.534586,-1.80283,-0.918819,-0.964823,-0.106153,-0.0224473
1536128082.614302130,1.14166,-0.496155,-1.74022,-0.854959,-0.906734,-0.106189,-0.0218733
1536128082.622365246,1.091,-0.448128,-1.68885,-0.787459,-0.841055,-0.102687,-0.0217059
1536128082.630543983,1.16326,-0.504209,-1.75843,-0.861739,-0.917006,-0.11719,-0.017594
1536128082.638552201,1.12333,-0.46602,-1.71659,-0.804978,-0.863928,-0.105299,-0.0142611
1536128082.646615609,1.19064,-0.522717,-1.78263,-0.878045,-0.935848,-0.110285,-0.0151164
1536128082.654637141,1.13787,-0.479031,-1.74151,-0.81971,-0.880993,-0.100248,-0.0170191
1536128082.662708496,1.08239,-0.431276,-1.70003,-0.757084,-0.820129,-0.0866145,-0.0189505
1536128082.670718855,1.13927,-0.483482,-1.76687,-0.821268,-0.890008,-0.097335,-0.0197639
1536128082.678736378,1.09841,-0.447309,-1.7313,-0.770733,-0.838438,-0.08571,-0.0237024
1536128082.686828967,1.14329,-0.504565,-1.79274,-0.841505,-0.883335,-0.0967362,-0.0231852
1536128082.695001642,1.09701,-0.463114,-1.75478,-0.787145,-0.829718,-0.0936334,-0.0259646
1536128082.703061056,1.03875,-0.415565,-1.71846,-0.730055,-0.774606,-0.0871166,-0.0265672
1536128082.711112499,1.07775,-0.452891,-1.76901,-0.761081,-0.840996,-0.0909531,-0.0279707
1536128082.719133822,1.03656,-0.420029,-1.73137,-0.7143,-0.792494,-0.0835381,-0.0309666
1536128082.727247712,1.07686,-0.462338,-1.78323,-0.769619,-0.845505,-0.0892672,-0.0334462
1536128082.735168424,1.02543,-0.426116,-1.74567,-0.716294,-0.795698,-0.0752861,-0.0351104
1536128082.743195068,0.972228,-0.383529,-1.70633,-0.663119,-0.74276,-0.0714328,-0.0358512
1536128082.751309721,1.01482,-0.421804,-1.75279,-0.717503,-0.790668,-0.0826621,-0.0358092
1536128082.788204781,1.13378,-0.52512,-1.86983,-0.857683,-0.92723,-0.106943,-0.0397758
1536128082.796297344,0.964195,-0.33842,-1.67697,-0.639118,-0.690019,-0.081633,-0.0425496
1536128082.804261750,0.918791,-0.278215,-1.62967,-0.57548,-0.62061,-0.0739106,-0.0446112
1536128082.812388354,0.958146,-0.308705,-1.6595,-0.610387,-0.656783,-0.0748497,-0.0468921
1536128082.820587283,0.946687,-0.287476,-1.61879,-0.569304,-0.618058,-0.0658466,-0.0484945
1536128082.828553520,0.931455,-0.260849,-1.57419,-0.526196,-0.577639,-0.0645077,-0.0498968
1536128082.836617964,0.968925,-0.28544,-1.59352,-0.559679,-0.616157,-0.0747802,-0.0494913
1536128082.844728301,0.937029,-0.2578,-1.55253,-0.517121,-0.584401,-0.0758717,-0.0500563
1536128082.852819490,0.971587,-0.27681,-1.56843,-0.546301,-0.618209,-0.0833584,-0.0516022
1536128082.860804685,0.946334,-0.251084,-1.52483,-0.505224,-0.576168,-0.0828113,-0.0520121
1536128082.868896704,0.915199,-0.223915,-1.47716,-0.463807,-0.539367,-0.0809399,-0.0529831
1536128082.876981024,0.943697,-0.253782,-1.48788,-0.486695,-0.570345,-0.0863968,-0.0533881
1536128082.885123115,0.933725,-0.237057,-1.43702,-0.440206,-0.543284,-0.0864969,-0.0558628
1536128082.893162878,0.965816,-0.257371,-1.44505,-0.456813,-0.570382,-0.0905451,-0.0571667
1536128082.901197477,0.946778,-0.238473,-1.4028,-0.421069,-0.544744,-0.0876139,-0.0574339
1536128082.909223815,0.922106,-0.214454,-1.35914,-0.386154,-0.51196,-0.0851036,-0.0576201
