time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1535942024.678159390,0.328915,0.35296,-0.365268,-0.0651511,-0.0436374,-0.0712402,-0.0533793
1535942024.684262768,0.301976,0.35021,-0.361593,-0.0674306,-0.0569496,-0.0681348,-0.0534349
1535942024.690341706,0.283706,0.348637,-0.359104,-0.0686164,-0.0666826,-0.0665224,-0.0483943
1535942024.696576145,0.435206,0.358803,-0.360257,-0.0536794,-0.0999154,-0.0707068,-0.0580258
1535942024.731610399,0.427641,0.357431,-0.360358,-0.0528988,-0.107602,-0.0724197,-0.0479824
1535942024.737766887,0.457353,0.36338,-0.375192,-0.02109,-0.161343,-0.101452,0.112448
1535942024.743967040,0.449876,0.36641,-0.377212,-0.0198038,-0.16231,-0.108973,0.154358
1535942024.750077517,0.427251,0.366544,-0.379089,-0.0167448,-0.161558,-0.108896,0.167708
1535942024.756226033,0.403238,0.365959,-0.380783,-0.0153378,-0.156897,-0.108935,0.159199
1535942024.762262318,0.388081,0.367125,-0.383771,-0.0147228,-0.150493,-0.104341,0.136536
1535942024.768468803,0.376548,0.369361,-0.386324,-0.0147328,-0.138607,-0.100973,0.110389
1535942024.774668698,0.376961,0.372821,-0.38836,-0.0125697,-0.130342,-0.101718,0.0904834
1535942024.780923170,0.535671,0.389971,-0.394652,0.00562034,-0.147816,-0.107444,0.0511531
1535942024.786985967,0.538942,0.395139,-0.397885,0.00933644,-0.14053,-0.101613,0.0362472
1535942024.793139877,0.516472,0.400618,-0.400682,0.0107672,-0.131306,-0.0959314,0.0258177
1535942024.799278922,0.480032,0.403748,-0.402428,0.0124812,-0.122173,-0.0864577,0.00873071
1535942024.805398750,0.458063,0.407144,-0.40429,0.0129281,-0.110641,-0.0855775,-0.00292949
1535942024.811560273,0.443703,0.410334,-0.406464,0.014556,-0.101561,-0.078409,-0.0123204
1535942024.817707957,0.603892,0.425618,-0.411619,0.0300596,-0.115072,-0.0757758,-0.0411836
1535942024.823797246,0.596852,0.427925,-0.414135,0.0310648,-0.104439,-0.0751716,-0.0458819
1535942024.829871900,0.574587,0.430017,-0.415544,0.0319797,-0.0930567,-0.0751664,-0.0433364
1535942024.836009370,0.535493,0.431366,-0.417979,0.0321988,-0.0794571,-0.0728773,-0.0366759
1535942024.842261754,0.504685,0.433642,-0.420554,0.0338713,-0.0645304,-0.0710339,-0.0365874
1535942024.848287207,0.48453,0.435281,-0.422496,0.0337126,-0.0455732,-0.0740014,-0.0456721
1535942024.854432181,0.477953,0.437156,-0.425388,0.0336717,-0.0289816,-0.0728323,-0.0584635
1535942024.860626228,0.640921,0.450312,-0.431012,0.0492013,-0.0356999,-0.0738439,-0.087992
1535942024.866864224,0.639053,0.452253,-0.434803,0.047195,-0.0201279,-0.071539,-0.0936571
1535942024.872943134,0.617597,0.45407,-0.437382,0.0443307,-0.00741643,-0.0759489,-0.092871
1535942024.879033747,0.583613,0.454424,-0.439101,0.0403624,0.00295345,-0.0760865,-0.0943319
1535942024.885149959,0.561652,0.455312,-0.441202,0.038582,0.00935851,-0.0763647,-0.0974439
1535942024.891348848,0.539596,0.45649,-0.442752,0.0370682,0.0125584,-0.0757574,-0.0980237
1535942024.897397137,0.532501,0.457888,-0.444421,0.0323988,0.0159289,-0.0746239,-0.0972514
1535942024.903452260,0.693277,0.470652,-0.44711,0.0445613,-0.00941638,-0.0775285,-0.118033
1535942024.909525747,0.682024,0.469803,-0.448285,0.0421153,-0.0109587,-0.0798789,-0.105758
1535942024.915737187,0.65464,0.466792,-0.448621,0.0370678,-0.0140625,-0.0841289,-0.0810674
1535942024.921803503,0.608284,0.458449,-0.4476,0.0310708,-0.0155982,-0.0897494,-0.0518812
1535942024.927990175,0.570413,0.446238,-0.44642,0.0272212,-0.0168429,-0.0934641,-0.0150596
1535942024.934076193,0.548636,0.434983,-0.444815,0.0248329,-0.0191845,-0.097807,0.0166203
1535942024.940228148,0.704906,0.43915,-0.448418,0.0388793,-0.0450901,-0.102173,0.0195133
1535942024.946444327,0.690489,0.433613,-0.447923,0.0361303,-0.0462807,-0.102199,0.0382286
1535942024.952551424,0.658477,0.427088,-0.446373,0.0316958,-0.0452117,-0.108584,0.0528833
1535942024.958659707,0.61627,0.422179,-0.446,0.0264108,-0.039938,-0.111925,0.0648477
1535942024.964991421,0.585937,0.41939,-0.447163,0.0207343,-0.0335798,-0.112602,0.0686217
1535942024.971251342,0.565902,0.418671,-0.448884,0.0140676,-0.0206141,-0.112129,0.0648626
1535942024.977411252,0.553005,0.415102,-0.450331,0.0113078,-0.0121116,-0.10775,0.0485942
1535942024.983638848,0.717895,0.426443,-0.454646,0.022893,-0.0294194,-0.110975,0.00585923
1535942024.989884671,0.71969,0.426876,-0.455925,0.0239208,-0.0292771,-0.117469,-0.00983332
1535942024.996029943,0.702579,0.427723,-0.456276,0.0196214,-0.0321846,-0.118399,-0.0171797
1535942025.002243030,0.671923,0.42916,-0.456863,0.0149122,-0.0329344,-0.108781,-0.0189538
1535942025.008335482,0.652083,0.427931,-0.456366,0.0111451,-0.0376639,-0.0986893,-0.0138544
1535942025.014394423,0.632385,0.42645,-0.454902,0.00527987,-0.0411084,-0.0984735,-0.0104054
1535942025.020499949,0.789513,0.435806,-0.455131,0.0190211,-0.0739913,-0.10289,-0.031856
1535942025.026657374,0.77504,0.433121,-0.450025,0.0138126,-0.0819816,-0.10453,-0.0357785
1535942025.032794572,0.746311,0.429234,-0.444213,0.00975102,-0.0905324,-0.108321,-0.0252676
1535942025.038857506,0.701894,0.425781,-0.440854,0.0042679,-0.0964577,-0.107195,-0.0153758
1535942025.045006459,0.666732,0.419825,-0.438908,9.18639e-05,-0.103896,-0.10945,-0.00463621
1535942025.051145887,0.64035,0.414604,-0.437497,-0.00108125,-0.114815,-0.113946,-0.00254927
1535942025.057292530,0.623645,0.408929,-0.438984,-0.00246641,-0.122899,-0.112481,0.00294279
1535942025.063547218,0.779023,0.416892,-0.443543,0.0122669,-0.157686,-0.113854,-0.01399
1535942025.069625563,0.773251,0.411471,-0.444099,0.0123173,-0.166432,-0.112427,-0.0126918
1535942025.075750409,0.748109,0.408327,-0.445579,0.00907142,-0.174496,-0.114357,-0.0108446
1535942025.081908500,0.710533,0.404829,-0.447647,0.00603221,-0.180279,-0.113485,-0.0108076
1535942025.088101503,0.671722,0.400658,-0.449904,0.00618754,-0.184694,-0.115564,-0.00815428
1535942025.094293992,0.646815,0.395934,-0.45188,0.00602105,-0.185731,-0.114419,-0.00936208
1535942025.100344686,0.806539,0.404788,-0.458017,0.022477,-0.209618,-0.114258,-0.037115
1535942025.106395387,0.797664,0.40418,-0.459794,0.0245926,-0.209329,-0.111362,-0.0341941
1535942025.112559993,0.778313,0.406338,-0.462709,0.024593,-0.203854,-0.11119,-0.0356299
1535942025.118657267,0.746254,0.408491,-0.46551,0.0252297,-0.19969,-0.114711,-0.0289689
1535942025.124850116,0.719139,0.401371,-0.466366,0.0248757,-0.192698,-0.116361,-0.0242588
1535942025.131096984,0.698805,0.392426,-0.467276,0.0274249,-0.185446,-0.118976,-0.0168553
1535942025.137185824,0.681442,0.384313,-0.468764,0.0316862,-0.174771,-0.117127,-0.0256941
1535942025.143312282,0.846267,0.395433,-0.474485,0.0520183,-0.187441,-0.114022,-0.0626915
1535942025.149445387,0.845368,0.399123,-0.479616,0.0551822,-0.17234,-0.111649,-0.0792554
1535942025.155575417,0.825938,0.406442,-0.48697,0.0565198,-0.154543,-0.109289,-0.0885715
1535942025.161663689,0.797449,0.413565,-0.490817,0.0558796,-0.133196,-0.110695,-0.0979264
1535942025.167835553,0.772351,0.42155,-0.493582,0.0579515,-0.110298,-0.109236,-0.108628
1535942025.174065717,0.759191,0.429391,-0.496985,0.0594068,-0.0840069,-0.107629,-0.115148
1535942025.180334120,0.758468,0.438006,-0.501436,0.0621747,-0.0624802,-0.105847,-0.122262
1535942025.186454607,0.934665,0.455397,-0.506692,0.0839397,-0.068564,-0.105671,-0.151732
1535942025.192612173,0.937653,0.462942,-0.50821,0.0902677,-0.0572211,-0.110883,-0.145618
1535942025.198954438,0.928722,0.468349,-0.511134,0.094145,-0.0498377,-0.12405,-0.123828
1535942025.204964816,0.902901,0.471099,-0.510216,0.0988216,-0.042154,-0.13344,-0.0937762
1535942025.211091990,0.877423,0.475159,-0.512431,0.102247,-0.0379786,-0.12726,-0.0645174
1535942025.217252274,0.865004,0.479667,-0.512563,0.104598,-0.0304881,-0.115602,-0.0350591
1535942025.223382250,1.02589,0.493954,-0.516458,0.122761,-0.0464349,-0.108083,-0.0328086
1535942025.229525230,1.0105,0.49619,-0.516899,0.124984,-0.0396636,-0.0974835,-0.00960229
1535942025.235608336,0.987369,0.495049,-0.517931,0.125187,-0.0308798,-0.085073,0.00494337
1535942025.241719892,0.949486,0.491233,-0.518481,0.125861,-0.0232045,-0.0818801,0.0136973
